DATE,Interest India
2005-01-01,6.7
2005-02-01,6.55
2005-03-01,6.68
2005-04-01,7.23
2005-05-01,6.98
2005-06-01,6.89
2005-07-01,6.97
2005-08-01,7.09
2005-09-01,7.11
2005-10-01,7.1
2005-11-01,7.08
2005-12-01,7.11
2006-01-01,7.28
2006-02-01,7.36
2006-03-01,7.52
2006-04-01,7.4
2006-05-01,7.68
2006-06-01,8.12
2006-07-01,8.23
2006-08-01,7.9
2006-09-01,7.67
2006-10-01,7.67
2006-11-01,7.42
2006-12-01,7.61
2007-01-01,7.76
2007-02-01,7.98
2007-03-01,7.97
2007-04-01,8.17
2007-05-01,8.12
2007-06-01,8.2
2007-07-01,7.9
2007-08-01,7.94
2007-09-01,7.93
2007-10-01,7.89
2007-11-01,7.96
2007-12-01,7.82
2008-01-01,7.57
2008-02-01,7.6
2008-03-01,7.93
2008-04-01,8.01
2008-05-01,8.17
2008-06-01,8.69
2008-07-01,9.32
2008-08-01,8.78
2008-09-01,8.63
2008-10-01,7.45
2008-11-01,6.99
2008-12-01,5
2009-01-01,6.24
2009-02-01,6.02
2009-03-01,7.01
2009-04-01,6.23
2009-05-01,6.7
2009-06-01,7.01
2009-07-01,7.15
2009-08-01,7.43
2009-09-01,7.17
2009-10-01,7.31
2009-11-01,7.52
2009-12-01,7.59
2010-01-01,7.59
2010-02-01,7.88
2010-03-01,7.82
2010-04-01,8.05
2010-05-01,7.53
2010-06-01,7.55
2010-07-01,7.8444
2010-08-01,7.9205
2010-09-01,7.87
2010-10-01,8.0836
2010-11-01,8.0612
2010-12-01,7.941
2011-01-01,8.1336
2011-02-01,8.015
2011-03-01,8.0141
2011-04-01,8.1385
2011-05-01,8.4172
2011-06-01,8.3331
2011-07-01,8.4665
2011-08-01,8.3409
2011-09-01,8.4412
2011-10-01,8.8903
2011-11-01,8.7434
2011-12-01,8.5364
2012-01-01,8.2563
2012-02-01,8.2636
2012-03-01,8.62
2012-04-01,8.65
2012-05-01,8.38
2012-06-01,8.15
2012-07-01,8.25
2012-08-01,8.24
2012-09-01,8.28
2012-10-01,8.21
2012-11-01,8.18
2012-12-01,8.05
2013-01-01,7.91
2013-02-01,7.87
2013-03-01,7.95
2013-04-01,7.73
2013-05-01,7.44
2013-06-01,7.39
2013-07-01,8.17
2013-08-01,8.6
2013-09-01,8.54
2013-10-01,8.55
2013-11-01,8.75
2013-12-01,8.84
2014-01-01,8.81
2014-02-01,8.86
2014-03-01,8.84
2014-04-01,8.89
2014-05-01,8.67
2014-06-01,8.72
2014-07-01,8.51
2014-08-01,8.57
2014-09-01,8.52
2014-10-01,8.28
2014-11-01,8.1
2014-12-01,7.9
2015-01-01,7.72
2015-02-01,7.77
2015-03-01,7.8
2015-04-01,7.89
2015-05-01,7.64
2015-06-01,7.87
2015-07-01,7.84
2015-08-01,7.79
2015-09-01,7.53
2015-10-01,7.69
2015-11-01,7.85
2015-12-01,7.83
2016-01-01,7.6387
2016-02-01,7.61
2016-03-01,7.42
2016-04-01,7.44
2016-05-01,7.48
2016-06-01,7.51
2016-07-01,7.27
2016-08-01,7.13
2016-09-01,6.81
2016-10-01,6.83
2016-11-01,6.28
2016-12-01,6.63
2017-01-01,6.87
2017-02-01,7.12
2017-03-01,7
2017-04-01,7.2
