DATE, Interest USA
1999-12-01,6.28
2000-01-01,6.66
2000-02-01,6.52
2000-03-01,6.26
2000-04-01,5.99
2000-05-01,6.44
2000-06-01,6.1
2000-07-01,6.05
2000-08-01,5.83
2000-09-01,5.8
2000-10-01,5.74
2000-11-01,5.72
2000-12-01,5.24
2001-01-01,5.16
2001-02-01,5.1
2001-03-01,4.89
2001-04-01,5.14
2001-05-01,5.39
2001-06-01,5.28
2001-07-01,5.24
2001-08-01,4.97
2001-09-01,4.73
2001-10-01,4.57
2001-11-01,4.65
2001-12-01,5.09
2002-01-01,5.04
2002-02-01,4.91
2002-03-01,5.28
2002-04-01,5.21
2002-05-01,5.16
2002-06-01,4.93
2002-07-01,4.65
2002-08-01,4.26
2002-09-01,3.87
2002-10-01,3.94
2002-11-01,4.05
2002-12-01,4.03
2003-01-01,4.05
2003-02-01,3.9
2003-03-01,3.81
2003-04-01,3.96
2003-05-01,3.57
2003-06-01,3.33
2003-07-01,3.98
2003-08-01,4.45
2003-09-01,4.27
2003-10-01,4.29
2003-11-01,4.3
2003-12-01,4.27
2004-01-01,4.15
2004-02-01,4.08
2004-03-01,3.83
2004-04-01,4.35
2004-05-01,4.72
2004-06-01,4.73
2004-07-01,4.5
2004-08-01,4.28
2004-09-01,4.13
2004-10-01,4.1
2004-11-01,4.19
2004-12-01,4.23
2005-01-01,4.22
2005-02-01,4.17
2005-03-01,4.5
2005-04-01,4.34
2005-05-01,4.14
2005-06-01,4
2005-07-01,4.18
2005-08-01,4.26
2005-09-01,4.2
2005-10-01,4.46
2005-11-01,4.54
2005-12-01,4.47
2006-01-01,4.42
2006-02-01,4.57
2006-03-01,4.72
2006-04-01,4.99
2006-05-01,5.11
2006-06-01,5.11
2006-07-01,5.09
2006-08-01,4.88
2006-09-01,4.72
2006-10-01,4.73
2006-11-01,4.6
2006-12-01,4.56
2007-01-01,4.76
2007-02-01,4.72
2007-03-01,4.56
2007-04-01,4.69
2007-05-01,4.75
2007-06-01,5.1
2007-07-01,5
2007-08-01,4.67
2007-09-01,4.52
2007-10-01,4.53
2007-11-01,4.15
2007-12-01,4.1
2008-01-01,3.74
2008-02-01,3.74
2008-03-01,3.51
2008-04-01,3.68
2008-05-01,3.88
2008-06-01,4.1
2008-07-01,4.01
2008-08-01,3.89
2008-09-01,3.69
2008-10-01,3.81
2008-11-01,3.53
2008-12-01,2.42
2009-01-01,2.52
2009-02-01,2.87
2009-03-01,2.82
2009-04-01,2.93
2009-05-01,3.29
2009-06-01,3.72
2009-07-01,3.56
2009-08-01,3.59
2009-09-01,3.4
2009-10-01,3.39
2009-11-01,3.4
2009-12-01,3.59
2010-01-01,3.73
2010-02-01,3.69
2010-03-01,3.73
2010-04-01,3.85
2010-05-01,3.42
2010-06-01,3.2
2010-07-01,3.01
2010-08-01,2.7
2010-09-01,2.65
2010-10-01,2.54
2010-11-01,2.76
2010-12-01,3.29
2011-01-01,3.39
2011-02-01,3.58
2011-03-01,3.41
2011-04-01,3.46
2011-05-01,3.17
2011-06-01,3
2011-07-01,3
2011-08-01,2.3
2011-09-01,1.98
2011-10-01,2.15
2011-11-01,2.01
2011-12-01,1.98
2012-01-01,1.97
2012-02-01,1.97
2012-03-01,2.17
2012-04-01,2.05
2012-05-01,1.8
2012-06-01,1.62
2012-07-01,1.53
2012-08-01,1.68
2012-09-01,1.72
2012-10-01,1.75
2012-11-01,1.65
2012-12-01,1.72
2013-01-01,1.91
2013-02-01,1.98
2013-03-01,1.96
2013-04-01,1.76
2013-05-01,1.93
2013-06-01,2.3
2013-07-01,2.58
2013-08-01,2.74
2013-09-01,2.81
2013-10-01,2.62
2013-11-01,2.72
2013-12-01,2.9
2014-01-01,2.86
2014-02-01,2.71
2014-03-01,2.72
2014-04-01,2.71
2014-05-01,2.56
2014-06-01,2.6
2014-07-01,2.54
2014-08-01,2.42
2014-09-01,2.53
2014-10-01,2.3
2014-11-01,2.33
2014-12-01,2.21
2015-01-01,1.88
2015-02-01,1.98
2015-03-01,2.04
2015-04-01,1.94
2015-05-01,2.2
2015-06-01,2.36
2015-07-01,2.32
2015-08-01,2.17
2015-09-01,2.17
2015-10-01,2.07
2015-11-01,2.26
2015-12-01,2.24
2016-01-01,2.09
2016-02-01,1.78
2016-03-01,1.89
2016-04-01,1.81
2016-05-01,1.81
2016-06-01,1.64
2016-07-01,1.5
2016-08-01,1.56
2016-09-01,1.63
2016-10-01,1.76
2016-11-01,2.14
2016-12-01,2.49
2017-01-01,2.43
2017-02-01,2.42
2017-03-01,2.48
