,Date,Open,High,Low,INR Gold Price per Troy,IND Inflation,USA Inflation,"Foreign direct investment, net inflows (% of GDP) - IND","Foreign direct investment, net inflows (% of GDP)",Price
0,2010-01-01,46.61,46.677,46.59,50606.8,16.21622,2.625709,1.653785022,1.764450924,46.615
1,2010-01-04,46.545,46.655,46.245,51919.8,16.21622,2.625709,1.653785022,1.764450924,46.295
2,2010-01-05,46.305,46.305,46.045,51944.7,16.21622,2.625709,1.653785022,1.764450924,46.205
3,2010-01-06,46.165,46.205,45.695,51816.2,16.21622,2.625709,1.653785022,1.764450924,45.695
4,2010-01-07,45.61,45.89,45.57,51680.7,16.21622,2.625709,1.653785022,1.764450924,45.65
5,2010-01-08,45.68,45.9,45.47,51554.4,16.21622,2.625709,1.653785022,1.764450924,45.47
6,2010-01-11,45.51,45.51,45.23,52271.3,16.21622,2.625709,1.653785022,1.764450924,45.26
7,2010-01-12,45.14,45.75,45.1,52629.4,16.21622,2.625709,1.653785022,1.764450924,45.66
8,2010-01-13,45.735,45.775,45.415,51408.2,16.21622,2.625709,1.653785022,1.764450924,45.495
9,2010-01-14,45.49,45.72,45.4,51927,16.21622,2.625709,1.653785022,1.764450924,45.6
10,2010-01-15,45.62,45.83,45.41,51645.5,16.21622,2.625709,1.653785022,1.764450924,45.79
11,2010-01-18,45.785,45.855,45.515,51778.6,16.21622,2.625709,1.653785022,1.764450924,45.645
12,2010-01-19,45.66,45.9,45.36,51880.1,16.21622,2.625709,1.653785022,1.764450924,45.76
13,2010-01-20,45.8,46.13,45.54,51464.3,16.21622,2.625709,1.653785022,1.764450924,45.86
14,2010-01-21,45.78,46.23,45.72,51023.8,16.21622,2.625709,1.653785022,1.764450924,46.23
15,2010-01-22,46.305,46.355,46.025,49972.4,16.21622,2.625709,1.653785022,1.764450924,46.225
16,2010-01-25,46.175,46.275,46.025,50518.4,16.21622,2.625709,1.653785022,1.764450924,46.075
17,2010-01-26,45.995,45.995,45.855,50426.2,16.21622,2.625709,1.653785022,1.764450924,45.855
18,2010-01-27,45.87,46.54,45.87,50763.6,16.21622,2.625709,1.653785022,1.764450924,46.19
19,2010-01-28,46.38,46.47,46.15,50434.2,16.21622,2.625709,1.653785022,1.764450924,46.25
20,2010-01-29,46.275,46.445,46.075,49794.3,16.21622,2.625709,1.653785022,1.764450924,46.125
21,2010-02-01,46.16,46.45,46.03,50386.4,14.86487,2.143332,1.653785022,1.764450924,46.14
22,2010-02-02,46.075,46.335,45.955,51344.9,14.86487,2.143332,1.653785022,1.764450924,46.125
23,2010-02-03,46.045,46.155,45.925,51273.6,14.86487,2.143332,1.653785022,1.764450924,45.925
24,2010-02-04,45.995,46.285,45.785,50105.7,14.86487,2.143332,1.653785022,1.764450924,46.235
25,2010-02-05,46.275,46.775,46.075,49435,14.86487,2.143332,1.653785022,1.764450924,46.645
26,2010-02-08,46.555,46.89,46.395,49800.5,14.86487,2.143332,1.653785022,1.764450924,46.845
27,2010-02-09,46.765,46.815,46.385,49979.2,14.86487,2.143332,1.653785022,1.764450924,46.405
28,2010-02-10,46.315,46.685,46.205,49721,14.86487,2.143332,1.653785022,1.764450924,46.365
29,2010-02-11,46.355,46.525,46.325,49964.9,14.86487,2.143332,1.653785022,1.764450924,46.355
30,2010-02-12,46.445,46.515,46.185,50231.8,14.86487,2.143332,1.653785022,1.764450924,46.425
31,2010-02-15,46.325,46.465,46.255,50876.4,14.86487,2.143332,1.653785022,1.764450924,46.355
32,2010-02-16,46.355,46.315,45.955,51535.7,14.86487,2.143332,1.653785022,1.764450924,45.955
33,2010-02-17,45.885,46.175,45.745,51591.5,14.86487,2.143332,1.653785022,1.764450924,46.175
34,2010-02-18,46.075,46.355,45.925,51735.4,14.86487,2.143332,1.653785022,1.764450924,46.255
35,2010-02-19,46.27,46.51,46,51525.9,14.86487,2.143332,1.653785022,1.764450924,46.17
36,2010-02-22,46.135,46.265,45.975,51541.3,14.86487,2.143332,1.653785022,1.764450924,46.125
37,2010-02-23,46.125,46.275,45.955,51193.2,14.86487,2.143332,1.653785022,1.764450924,46.275
38,2010-02-24,46.265,46.375,46.045,51107.5,14.86487,2.143332,1.653785022,1.764450924,46.295
39,2010-02-25,46.365,46.535,46.125,50790.3,14.86487,2.143332,1.653785022,1.764450924,46.385
40,2010-02-26,46.285,46.345,46.075,51095.9,14.86487,2.143332,1.653785022,1.764450924,46.105
41,2010-03-01,46.085,46.147,45.955,51361,14.86487,2.313959,1.653785022,1.764450924,46.005
42,2010-03-02,46.024,46.094,45.704,51835.9,14.86487,2.313959,1.653785022,1.764450924,45.704
43,2010-03-03,45.71,45.93,45.57,52080.1,14.86487,2.313959,1.653785022,1.764450924,45.7
44,2010-03-04,45.695,45.895,45.515,51977.1,14.86487,2.313959,1.653785022,1.764450924,45.795
45,2010-03-05,45.795,45.835,45.455,51761.7,14.86487,2.313959,1.653785022,1.764450924,45.455
46,2010-03-08,45.455,45.545,45.395,51249.8,14.86487,2.313959,1.653785022,1.764450924,45.535
47,2010-03-09,45.55,45.66,45.47,50906.1,14.86487,2.313959,1.653785022,1.764450924,45.59
48,2010-03-10,45.48,45.543,45.34,50848.3,14.86487,2.313959,1.653785022,1.764450924,45.42
49,2010-03-11,45.335,45.638,45.255,50359,14.86487,2.313959,1.653785022,1.764450924,45.515
50,2010-03-12,45.505,45.565,45.375,50262.5,14.86487,2.313959,1.653785022,1.764450924,45.465
51,2010-03-15,45.455,45.69,45.265,50337.2,14.86487,2.313959,1.653785022,1.764450924,45.565
52,2010-03-16,45.48,45.62,45.39,51215.5,14.86487,2.313959,1.653785022,1.764450924,45.52
53,2010-03-17,45.455,45.505,45.295,50826.5,14.86487,2.313959,1.653785022,1.764450924,45.395
54,2010-03-18,45.345,45.555,45.235,51029,14.86487,2.313959,1.653785022,1.764450924,45.475
55,2010-03-19,45.345,45.538,45.275,50305.8,14.86487,2.313959,1.653785022,1.764450924,45.455
56,2010-03-22,45.525,45.615,45.335,50023.6,14.86487,2.313959,1.653785022,1.764450924,45.495
57,2010-03-23,45.425,45.635,45.295,50225.6,14.86487,2.313959,1.653785022,1.764450924,45.435
58,2010-03-24,45.343,45.653,45.242,49735.5,14.86487,2.313959,1.653785022,1.764450924,45.432
59,2010-03-25,45.42,45.71,45.28,49737,14.86487,2.313959,1.653785022,1.764450924,45.43
60,2010-03-26,45.525,45.555,45.125,49600.2,14.86487,2.313959,1.653785022,1.764450924,45.135
61,2010-03-29,45.065,45.175,44.815,49793.2,14.86487,2.313959,1.653785022,1.764450924,44.895
62,2010-03-30,44.825,45.17,44.775,49914.6,14.86487,2.313959,1.653785022,1.764450924,45.025
63,2010-03-31,44.935,45.205,44.825,50080.4,14.86487,2.313959,1.653785022,1.764450924,44.825
64,2010-04-01,44.925,44.925,44.625,50439.5,13.33333,2.236447,1.653785022,1.764450924,44.815
65,2010-04-02,44.715,44.765,44.625,50439.5,13.33333,2.236447,1.653785022,1.764450924,44.765
66,2010-04-05,44.735,44.805,44.375,49928.3,13.33333,2.236447,1.653785022,1.764450924,44.385
67,2010-04-06,44.375,44.585,44.275,50356.4,13.33333,2.236447,1.653785022,1.764450924,44.425
68,2010-04-07,44.328,44.603,44.287,50870.4,13.33333,2.236447,1.653785022,1.764450924,44.427
69,2010-04-08,44.355,44.718,44.315,51040.1,13.33333,2.236447,1.653785022,1.764450924,44.365
70,2010-04-09,44.345,44.465,44.165,51038.5,13.33333,2.236447,1.653785022,1.764450924,44.175
71,2010-04-12,44.175,44.53,44.125,51512.2,13.33333,2.236447,1.653785022,1.764450924,44.485
72,2010-04-13,44.345,44.705,44.295,51068.4,13.33333,2.236447,1.653785022,1.764450924,44.545
73,2010-04-14,44.455,44.455,44.175,51313,13.33333,2.236447,1.653785022,1.764450924,44.215
74,2010-04-15,44.165,44.515,44.075,51306,13.33333,2.236447,1.653785022,1.764450924,44.345
75,2010-04-16,44.285,44.605,44.215,51034.5,13.33333,2.236447,1.653785022,1.764450924,44.275
76,2010-04-19,44.235,44.755,44.195,50830.1,13.33333,2.236447,1.653785022,1.764450924,44.735
77,2010-04-20,44.655,44.655,44.415,50935.7,13.33333,2.236447,1.653785022,1.764450924,44.515
78,2010-04-21,44.385,44.57,44.235,50926.4,13.33333,2.236447,1.653785022,1.764450924,44.555
79,2010-04-22,44.555,44.605,44.275,50491.5,13.33333,2.236447,1.653785022,1.764450924,44.535
80,2010-04-23,44.415,44.655,44.315,50628,13.33333,2.236447,1.653785022,1.764450924,44.315
81,2010-04-26,44.285,44.43,44.145,51254,13.33333,2.236447,1.653785022,1.764450924,44.395
82,2010-04-27,44.325,44.485,44.155,51089.5,13.33333,2.236447,1.653785022,1.764450924,44.445
83,2010-04-28,44.445,44.755,44.355,51832.8,13.33333,2.236447,1.653785022,1.764450924,44.645
84,2010-04-29,44.64,44.66,44.45,51943.7,13.33333,2.236447,1.653785022,1.764450924,44.53
85,2010-04-30,44.425,44.49,44.225,52311.5,13.33333,2.236447,1.653785022,1.764450924,44.275
86,2010-05-03,44.205,44.605,44.185,52500.2,13.90728,2.020986,1.653785022,1.764450924,44.52
87,2010-05-04,44.455,44.64,44.335,52868.8,13.90728,2.020986,1.653785022,1.764450924,44.615
88,2010-05-05,44.505,44.987,44.475,52355.1,13.90728,2.020986,1.653785022,1.764450924,44.825
89,2010-05-06,44.795,45.485,44.745,53703.7,13.90728,2.020986,1.653785022,1.764450924,45.485
90,2010-05-07,45.395,45.75,45.345,54678.3,13.90728,2.020986,1.653785022,1.764450924,45.565
91,2010-05-10,45.385,45.385,44.755,53663,13.90728,2.020986,1.653785022,1.764450924,44.85
92,2010-05-11,44.765,45.35,44.685,55354.8,13.90728,2.020986,1.653785022,1.764450924,45.095
93,2010-05-12,45.335,45.39,44.875,55829.8,13.90728,2.020986,1.653785022,1.764450924,44.975
94,2010-05-13,44.825,45.165,44.785,55780.3,13.90728,2.020986,1.653785022,1.764450924,45.075
95,2010-05-14,44.975,45.285,44.875,55908.3,13.90728,2.020986,1.653785022,1.764450924,45.275
96,2010-05-17,45.145,45.795,45.065,56380.1,13.90728,2.020986,1.653785022,1.764450924,45.515
97,2010-05-18,45.405,45.695,45.345,55477.7,13.90728,2.020986,1.653785022,1.764450924,45.595
98,2010-05-19,45.455,46.415,45.385,55406.2,13.90728,2.020986,1.653785022,1.764450924,46.365
99,2010-05-20,46.195,46.825,46.005,55803.5,13.90728,2.020986,1.653785022,1.764450924,46.815
100,2010-05-21,46.835,47.355,46.785,55383.4,13.90728,2.020986,1.653785022,1.764450924,46.925
101,2010-05-24,46.955,47.035,46.595,55759.3,13.90728,2.020986,1.653785022,1.764450924,46.975
102,2010-05-25,46.845,47.765,46.725,57162.5,13.90728,2.020986,1.653785022,1.764450924,47.515
103,2010-05-26,47.725,47.725,47.095,57321.5,13.90728,2.020986,1.653785022,1.764450924,47.125
104,2010-05-27,47.025,47.075,46.725,57274.2,13.90728,2.020986,1.653785022,1.764450924,46.745
105,2010-05-28,46.645,46.785,46.325,55961.6,13.90728,2.020986,1.653785022,1.764450924,46.325
106,2010-05-31,46.225,46.595,46.175,55985.7,13.90728,2.020986,1.653785022,1.764450924,46.365
107,2010-06-01,46.305,47.205,46.185,57894.6,13.72549,1.053349,1.653785022,1.764450924,47.155
108,2010-06-02,47.048,47.275,46.725,57086.8,13.72549,1.053349,1.653785022,1.764450924,46.985
109,2010-06-03,46.86,46.86,46.35,56691.9,13.72549,1.053349,1.653785022,1.764450924,46.66
110,2010-06-04,46.495,46.885,46.355,56390,13.72549,1.053349,1.653785022,1.764450924,46.885
111,2010-06-07,46.835,47.455,46.585,57214.4,13.72549,1.053349,1.653785022,1.764450924,47.09
112,2010-06-08,47.035,47.155,46.835,58474.8,13.72549,1.053349,1.653785022,1.764450924,46.855
113,2010-06-09,46.755,47.145,46.575,57993,13.72549,1.053349,1.653785022,1.764450924,47.015
114,2010-06-10,46.925,47.105,46.675,57167.7,13.72549,1.053349,1.653785022,1.764450924,46.775
115,2010-06-11,46.745,46.93,46.365,57132.6,13.72549,1.053349,1.653785022,1.764450924,46.775
116,2010-06-14,46.725,46.725,46.405,56898.3,13.72549,1.053349,1.653785022,1.764450924,46.495
117,2010-06-15,46.475,46.785,46.195,57029.9,13.72549,1.053349,1.653785022,1.764450924,46.365
118,2010-06-16,46.265,46.675,46.105,57496.8,13.72549,1.053349,1.653785022,1.764450924,46.395
119,2010-06-17,46.325,46.655,46.115,57649.7,13.72549,1.053349,1.653785022,1.764450924,46.225
120,2010-06-18,46.075,46.285,45.925,57958.1,13.72549,1.053349,1.653785022,1.764450924,46.035
121,2010-06-21,45.965,45.965,45.535,57399.6,13.72549,1.053349,1.653785022,1.764450924,45.675
122,2010-06-22,45.585,46.305,45.515,57158.8,13.72549,1.053349,1.653785022,1.764450924,46.045
123,2010-06-23,46.245,46.355,45.945,56633.6,13.72549,1.053349,1.653785022,1.764450924,46.175
124,2010-06-24,46.095,46.585,45.805,57479.4,13.72549,1.053349,1.653785022,1.764450924,46.495
125,2010-06-25,46.425,46.655,46.075,58028.8,13.72549,1.053349,1.653785022,1.764450924,46.075
126,2010-06-28,46.015,46.235,45.805,58264.5,13.72549,1.053349,1.653785022,1.764450924,46.205
127,2010-06-29,46.075,46.605,45.885,57385.7,13.72549,1.053349,1.653785022,1.764450924,46.485
128,2010-06-30,46.345,46.695,46.185,57777.6,13.72549,1.053349,1.653785022,1.764450924,46.445
129,2010-07-01,46.345,46.778,46.295,57485.9,11.25,1.235193,1.653785022,1.764450924,46.585
130,2010-07-02,46.475,46.815,46.285,56188.2,11.25,1.235193,1.653785022,1.764450924,46.585
131,2010-07-05,46.465,46.845,46.315,56504.2,11.25,1.235193,1.653785022,1.764450924,46.775
132,2010-07-06,46.79,46.93,46.55,56051.5,11.25,1.235193,1.653785022,1.764450924,46.77
133,2010-07-07,46.655,47.155,46.425,56106.6,11.25,1.235193,1.653785022,1.764450924,47.02
134,2010-07-08,46.885,46.94,46.575,55927.4,11.25,1.235193,1.653785022,1.764450924,46.857
135,2010-07-09,46.685,46.795,46.535,56406.3,11.25,1.235193,1.653785022,1.764450924,46.665
136,2010-07-12,46.575,46.885,46.345,56375.2,11.25,1.235193,1.653785022,1.764450924,46.685
137,2010-07-13,46.655,46.95,46.325,56841.9,11.25,1.235193,1.653785022,1.764450924,46.77
138,2010-07-14,46.685,46.835,46.405,56366.9,11.25,1.235193,1.653785022,1.764450924,46.705
139,2010-07-15,46.565,46.78,46.315,56310.9,11.25,1.235193,1.653785022,1.764450924,46.615
140,2010-07-16,46.635,46.945,46.245,55633.1,11.25,1.235193,1.653785022,1.764450924,46.725
141,2010-07-19,46.605,47.13,46.605,55642.8,11.25,1.235193,1.653785022,1.764450924,47.115
142,2010-07-20,47.085,47.435,46.925,56021,11.25,1.235193,1.653785022,1.764450924,47.275
143,2010-07-21,47.175,47.325,46.905,56197.1,11.25,1.235193,1.653785022,1.764450924,47.165
144,2010-07-22,47.065,47.35,46.865,56526.4,11.25,1.235193,1.653785022,1.764450924,47.125
145,2010-07-23,47.105,47.105,46.745,55876.1,11.25,1.235193,1.653785022,1.764450924,46.915
146,2010-07-26,46.845,47.055,46.635,55683.7,11.25,1.235193,1.653785022,1.764450924,47.055
147,2010-07-27,47.045,47.045,46.645,54493,11.25,1.235193,1.653785022,1.764450924,46.655
148,2010-07-28,46.585,46.8,46.415,54101.3,11.25,1.235193,1.653785022,1.764450924,46.76
149,2010-07-29,46.635,46.755,46.325,54099.8,11.25,1.235193,1.653785022,1.764450924,46.537
150,2010-07-30,46.405,46.615,46.315,54247.4,11.25,1.235193,1.653785022,1.764450924,46.405
151,2010-08-02,46.325,46.325,46.095,54962.2,9.876543,1.148105,1.653785022,1.764450924,46.245
152,2010-08-03,46.085,46.245,45.815,54820.9,9.876543,1.148105,1.653785022,1.764450924,46.165
153,2010-08-04,46.05,46.315,45.76,55374.9,9.876543,1.148105,1.653785022,1.764450924,45.89
154,2010-08-05,45.905,46.29,45.735,55075.6,9.876543,1.148105,1.653785022,1.764450924,46.085
155,2010-08-06,45.995,46.203,45.755,55743.7,9.876543,1.148105,1.653785022,1.764450924,45.985
156,2010-08-09,45.885,46.155,45.735,55488.4,9.876543,1.148105,1.653785022,1.764450924,46.125
