,Date,Open,High,Low,INR Gold Price per Troy,IND Inflation,Price,USA Inflation
0,2010-01-01,46.61,46.677,46.59,50606.8,16.21622,46.615,2.625709
1,2010-01-04,46.545,46.655,46.245,51919.8,16.21622,46.295,2.625709
2,2010-01-05,46.305,46.305,46.045,51944.7,16.21622,46.205,2.625709
3,2010-01-06,46.165,46.205,45.695,51816.2,16.21622,45.695,2.625709
4,2010-01-07,45.61,45.89,45.57,51680.7,16.21622,45.65,2.625709
5,2010-01-08,45.68,45.9,45.47,51554.4,16.21622,45.47,2.625709
6,2010-01-11,45.51,45.51,45.23,52271.3,16.21622,45.26,2.625709
7,2010-01-12,45.14,45.75,45.1,52629.4,16.21622,45.66,2.625709
8,2010-01-13,45.735,45.775,45.415,51408.2,16.21622,45.495,2.625709
9,2010-01-14,45.49,45.72,45.4,51927.0,16.21622,45.6,2.625709
10,2010-01-15,45.62,45.83,45.41,51645.5,16.21622,45.79,2.625709
11,2010-01-18,45.785,45.855,45.515,51778.6,16.21622,45.645,2.625709
12,2010-01-19,45.66,45.9,45.36,51880.1,16.21622,45.76,2.625709
13,2010-01-20,45.8,46.13,45.54,51464.3,16.21622,45.86,2.625709
14,2010-01-21,45.78,46.23,45.72,51023.8,16.21622,46.23,2.625709
15,2010-01-22,46.305,46.355,46.025,49972.4,16.21622,46.225,2.625709
16,2010-01-25,46.175,46.275,46.025,50518.4,16.21622,46.075,2.625709
17,2010-01-26,45.995,45.995,45.855,50426.2,16.21622,45.855,2.625709
18,2010-01-27,45.87,46.54,45.87,50763.6,16.21622,46.19,2.625709
19,2010-01-28,46.38,46.47,46.15,50434.2,16.21622,46.25,2.625709
20,2010-01-29,46.275,46.445,46.075,49794.3,16.21622,46.125,2.625709
21,2010-02-01,46.16,46.45,46.03,50386.4,14.864870000000002,46.14,2.143332
22,2010-02-02,46.075,46.335,45.955,51344.9,14.864870000000002,46.125,2.143332
23,2010-02-03,46.045,46.155,45.925,51273.6,14.864870000000002,45.925,2.143332
24,2010-02-04,45.995,46.285,45.785,50105.7,14.864870000000002,46.235,2.143332
25,2010-02-05,46.275,46.775,46.075,49435.0,14.864870000000002,46.645,2.143332
26,2010-02-08,46.555,46.89,46.395,49800.5,14.864870000000002,46.845,2.143332
27,2010-02-09,46.765,46.815,46.385,49979.2,14.864870000000002,46.405,2.143332
28,2010-02-10,46.315,46.685,46.205,49721.0,14.864870000000002,46.365,2.143332
29,2010-02-11,46.355,46.525,46.325,49964.9,14.864870000000002,46.355,2.143332
30,2010-02-12,46.445,46.515,46.185,50231.8,14.864870000000002,46.425,2.143332
31,2010-02-15,46.325,46.465,46.255,50876.4,14.864870000000002,46.355,2.143332
32,2010-02-16,46.355,46.315,45.955,51535.7,14.864870000000002,45.955,2.143332
33,2010-02-17,45.885,46.175,45.745,51591.5,14.864870000000002,46.175,2.143332
