Date,Open,High,Low,INR Gold Price per Troy,IND Inflation,Price
"Jan 1, 2010",46.61,46.677,46.59,50606.8,16.21622,46.615
"Jan 4, 2010",46.545,46.655,46.245,51919.8,16.21622,46.295
"Jan 5, 2010",46.305,46.305,46.045,51944.7,16.21622,46.205
"Jan 6, 2010",46.165,46.205,45.695,51816.2,16.21622,45.695
"Jan 7, 2010",45.61,45.89,45.57,51680.7,16.21622,45.65
"Jan 8, 2010",45.68,45.9,45.47,51554.4,16.21622,45.47
"Jan 11, 2010",45.51,45.51,45.23,52271.3,16.21622,45.26
"Jan 12, 2010",45.14,45.75,45.1,52629.4,16.21622,45.66
"Jan 13, 2010",45.735,45.775,45.415,51408.2,16.21622,45.495
"Jan 14, 2010",45.49,45.72,45.4,51927,16.21622,45.6
"Jan 15, 2010",45.62,45.83,45.41,51645.5,16.21622,45.79
"Jan 18, 2010",45.785,45.855,45.515,51778.6,16.21622,45.645
"Jan 19, 2010",45.66,45.9,45.36,51880.1,16.21622,45.76
"Jan 20, 2010",45.8,46.13,45.54,51464.3,16.21622,45.86
"Jan 21, 2010",45.78,46.23,45.72,51023.8,16.21622,46.23
"Jan 22, 2010",46.305,46.355,46.025,49972.4,16.21622,46.225
"Jan 25, 2010",46.175,46.275,46.025,50518.4,16.21622,46.075
"Jan 26, 2010",45.995,45.995,45.855,50426.2,16.21622,45.855
"Jan 27, 2010",45.87,46.54,45.87,50763.6,16.21622,46.19
"Jan 28, 2010",46.38,46.47,46.15,50434.2,16.21622,46.25
"Jan 29, 2010",46.275,46.445,46.075,49794.3,16.21622,46.125
"Feb 01, 2010",46.16,46.45,46.03,50386.4,14.86487,46.14
"Feb 02, 2010",46.075,46.335,45.955,51344.9,14.86487,46.125
"Feb 03, 2010",46.045,46.155,45.925,51273.6,14.86487,45.925
"Feb 4, 2010",45.995,46.285,45.785,50105.7,14.86487,46.235
"Feb 5, 2010",46.275,46.775,46.075,49435,14.86487,46.645
"Feb 8, 2010",46.555,46.89,46.395,49800.5,14.86487,46.845
"Feb 9, 2010",46.765,46.815,46.385,49979.2,14.86487,46.405
"Feb 10, 2010",46.315,46.685,46.205,49721,14.86487,46.365
"Feb 11, 2010",46.355,46.525,46.325,49964.9,14.86487,46.355
"Feb 12, 2010",46.445,46.515,46.185,50231.8,14.86487,46.425
"Feb 15, 2010",46.325,46.465,46.255,50876.4,14.86487,46.355
"Feb 16, 2010",46.355,46.315,45.955,51535.7,14.86487,45.955
"Feb 17, 2010",45.885,46.175,45.745,51591.5,14.86487,46.175
"Feb 18, 2010",46.075,46.355,45.925,51735.4,14.86487,46.255
"Feb 19, 2010",46.27,46.51,46,51525.9,14.86487,46.17
"Feb 22, 2010",46.135,46.265,45.975,51541.3,14.86487,46.125
"Feb 23, 2010",46.125,46.275,45.955,51193.2,14.86487,46.275
"Feb 24, 2010",46.265,46.375,46.045,51107.5,14.86487,46.295
"Feb 25, 2010",46.365,46.535,46.125,50790.3,14.86487,46.385
"Feb 26, 2010",46.285,46.345,46.075,51095.9,14.86487,46.105
"Mar 1, 2010",46.085,46.147,45.955,51361,14.86487,46.005
"Mar 2, 2010",46.024,46.094,45.704,51835.9,14.86487,45.704
"Mar 03, 2010",45.71,45.93,45.57,52080.1,14.86487,45.7
"Mar 04, 2010",45.695,45.895,45.515,51977.1,14.86487,45.795
"Mar 05, 2010",45.795,45.835,45.455,51761.7,14.86487,45.455
"Mar 08, 2010",45.455,45.545,45.395,51249.8,14.86487,45.535
"Mar 09, 2010",45.55,45.66,45.47,50906.1,14.86487,45.59
"Mar 10, 2010",45.48,45.543,45.34,50848.3,14.86487,45.42
"Mar 11, 2010",45.335,45.638,45.255,50359,14.86487,45.515
"Mar 12, 2010",45.505,45.565,45.375,50262.5,14.86487,45.465
"Mar 15, 2010",45.455,45.69,45.265,50337.2,14.86487,45.565
"Mar 16, 2010",45.48,45.62,45.39,51215.5,14.86487,45.52
"Mar 17, 2010",45.455,45.505,45.295,50826.5,14.86487,45.395
"Mar 18, 2010",45.345,45.555,45.235,51029,14.86487,45.475
"Mar 19, 2010",45.345,45.538,45.275,50305.8,14.86487,45.455
"Mar 22, 2010",45.525,45.615,45.335,50023.6,14.86487,45.495
"Mar 23, 2010",45.425,45.635,45.295,50225.6,14.86487,45.435
"Mar 24, 2010",45.343,45.653,45.242,49735.5,14.86487,45.432
"Mar 25, 2010",45.42,45.71,45.28,49737,14.86487,45.43
"Mar 26, 2010",45.525,45.555,45.125,49600.2,14.86487,45.135
"Mar 29, 2010",45.065,45.175,44.815,49793.2,14.86487,44.895
"Mar 30, 2010",44.825,45.17,44.775,49914.6,14.86487,45.025
"Mar 31, 2010",44.935,45.205,44.825,50080.4,14.86487,44.825
"Apr 1, 2010",44.925,44.925,44.625,50439.5,13.33333,44.815
"Apr 2, 2010",44.715,44.765,44.625,50439.5,13.33333,44.765
"Apr 5, 2010",44.735,44.805,44.375,49928.3,13.33333,44.385
"Apr 6, 2010",44.375,44.585,44.275,50356.4,13.33333,44.425
"Apr 7, 2010",44.328,44.603,44.287,50870.4,13.33333,44.427
"Apr 8, 2010",44.355,44.718,44.315,51040.1,13.33333,44.365
"Apr 09, 2010",44.345,44.465,44.165,51038.5,13.33333,44.175
"Apr 12, 2010",44.175,44.53,44.125,51512.2,13.33333,44.485
"Apr 13, 2010",44.345,44.705,44.295,51068.4,13.33333,44.545
"Apr 14, 2010",44.455,44.455,44.175,51313,13.33333,44.215
"Apr 15, 2010",44.165,44.515,44.075,51306,13.33333,44.345
"Apr 16, 2010",44.285,44.605,44.215,51034.5,13.33333,44.275
"Apr 19, 2010",44.235,44.755,44.195,50830.1,13.33333,44.735
"Apr 20, 2010",44.655,44.655,44.415,50935.7,13.33333,44.515
"Apr 21, 2010",44.385,44.57,44.235,50926.4,13.33333,44.555
"Apr 22, 2010",44.555,44.605,44.275,50491.5,13.33333,44.535
"Apr 23, 2010",44.415,44.655,44.315,50628,13.33333,44.315
"Apr 26, 2010",44.285,44.43,44.145,51254,13.33333,44.395
"Apr 27, 2010",44.325,44.485,44.155,51089.5,13.33333,44.445
"Apr 28, 2010",44.445,44.755,44.355,51832.8,13.33333,44.645
"Apr 29, 2010",44.64,44.66,44.45,51943.7,13.33333,44.53
"Apr 30, 2010",44.425,44.49,44.225,52311.5,13.33333,44.275
"May 3, 2010",44.205,44.605,44.185,52500.2,13.90728,44.52
"May 4, 2010",44.455,44.64,44.335,52868.8,13.90728,44.615
"May 5, 2010",44.505,44.987,44.475,52355.1,13.90728,44.825
"May 6, 2010",44.795,45.485,44.745,53703.7,13.90728,45.485
"May 7, 2010",45.395,45.75,45.345,54678.3,13.90728,45.565
"May 10, 2010",45.385,45.385,44.755,53663,13.90728,44.85
"May 11, 2010",44.765,45.35,44.685,55354.8,13.90728,45.095
"May 12, 2010",45.335,45.39,44.875,55829.8,13.90728,44.975
"May 13, 2010",44.825,45.165,44.785,55780.3,13.90728,45.075
"May 14, 2010",44.975,45.285,44.875,55908.3,13.90728,45.275
"May 17, 2010",45.145,45.795,45.065,56380.1,13.90728,45.515
"May 18, 2010",45.405,45.695,45.345,55477.7,13.90728,45.595
"May 19, 2010",45.455,46.415,45.385,55406.2,13.90728,46.365
"May 20, 2010",46.195,46.825,46.005,55803.5,13.90728,46.815
