,Date,Price,Open,High,Low,Change %,USA Inflation
0,2018-09-28,72.51,72.57,72.67,72.405,-0.08%,-1.0
1,2018-09-27,72.57,72.43,72.77,72.39,-0.04%,-1.0
2,2018-09-26,72.6,72.71,72.755,72.53699999999999,-0.12%,-1.0
3,2018-09-25,72.685,72.905,72.96,72.575,0.02%,-1.0
4,2018-09-24,72.67,72.48,72.74,72.34,0.60%,-1.0
5,2018-09-23,72.24,72.24,72.24,72.24,0.00%,-1.0
6,2018-09-21,72.24,71.86,72.48,71.76,0.31%,-1.0
7,2018-09-20,72.015,72.345,72.345,72.015,-0.48%,-1.0
8,2018-09-19,72.36,72.72,72.875,72.345,-0.48%,-1.0
9,2018-09-18,72.71,72.56,72.99,72.36,0.23%,-1.0
10,2018-09-17,72.54,72.53,72.695,72.315,0.60%,-1.0
11,2018-09-16,72.105,72.105,72.105,72.105,0.31%,-1.0
12,2018-09-14,71.88,71.7,71.995,71.535,-0.22%,-1.0
13,2018-09-13,72.03699999999999,72.03699999999999,72.03699999999999,72.03699999999999,-0.17%,-1.0
14,2018-09-12,72.16,72.843,72.92,71.925,-0.66%,-1.0
15,2018-09-11,72.64,72.31,72.75,72.25,0.26%,-1.0
16,2018-09-10,72.455,72.135,72.68,72.075,0.49%,-1.0
17,2018-09-09,72.105,72.105,72.105,72.105,0.44%,-1.0
18,2018-09-07,71.79,71.96,72.045,71.665,-0.22%,-1.0
19,2018-09-06,71.95,71.63,72.105,71.63,0.27%,-1.0
20,2018-09-05,71.755,71.405,71.955,71.375,0.24%,-1.0
21,2018-09-04,71.585,71.285,71.585,71.095,0.52%,-1.0
22,2018-09-03,71.215,70.79,71.22,70.725,0.30%,-1.0
23,2018-09-02,71.005,71.005,71.005,71.005,0.00%,-1.0
24,2018-08-31,71.005,70.955,71.025,70.855,0.37%,2.69918
25,2018-08-30,70.745,70.635,70.875,70.595,0.30%,2.69918
26,2018-08-29,70.535,70.325,70.635,70.24,0.62%,2.69918
27,2018-08-28,70.1,70.05,70.297,70.05,-0.09%,2.69918
28,2018-08-27,70.165,69.765,70.165,69.705,0.56%,2.69918
29,2018-08-26,69.775,69.775,69.775,69.775,-0.28%,2.69918
30,2018-08-24,69.97,70.22,70.24,69.89699999999999,-0.19%,2.69918
31,2018-08-23,70.105,70.015,70.17,69.968,0.34%,2.69918
32,2018-08-22,69.87,69.88,69.895,69.8,0.01%,2.69918
33,2018-08-21,69.86,69.665,69.92,69.535,0.06%,2.69918
34,2018-08-20,69.82,69.82,69.88,69.6,0.04%,2.69918
35,2018-08-19,69.795,69.795,69.795,69.795,-0.44%,2.69918
36,2018-08-17,70.1,70.13,70.16,70.08,0.01%,2.69918
37,2018-08-16,70.09,70.23,70.42,70.09,0.24%,2.69918
38,2018-08-15,69.92,69.92,69.92,69.92,-0.06%,2.69918
39,2018-08-14,69.96,69.86,70.09,69.7,-0.09%,2.69918
40,2018-08-13,70.02,69.485,70.02,69.405,1.34%,2.69918
41,2018-08-12,69.095,69.095,69.095,69.095,0.30%,2.69918
42,2018-08-10,68.89,68.845,69.025,68.767,0.19%,2.69918
43,2018-08-09,68.76,68.48,68.76,68.46,0.15%,2.69918
44,2018-08-08,68.66,68.67699999999999,68.715,68.58,0.04%,2.69918
45,2018-08-07,68.63,68.82,68.94,68.63,-0.29%,2.69918
46,2018-08-06,68.83,68.58,68.9,68.545,0.46%,2.69918
47,2018-08-05,68.515,68.515,68.515,68.515,-0.04%,2.69918
48,2018-08-03,68.545,68.695,68.845,68.545,-0.12%,2.69918
49,2018-08-02,68.625,68.375,68.735,68.265,0.40%,2.69918
50,2018-08-01,68.35,68.56,68.632,68.35,-0.16%,2.69918
51,2018-07-31,68.46,68.71,68.71,68.45,-0.21%,2.9495150000000003
52,2018-07-30,68.605,68.705,68.793,68.605,-0.03%,2.9495150000000003
53,2018-07-29,68.625,68.625,68.625,68.625,0.03%,2.9495150000000003
54,2018-07-27,68.605,68.655,68.755,68.535,-0.08%,2.9495150000000003
55,2018-07-26,68.66,68.705,68.76,68.618,-0.10%,2.9495150000000003
56,2018-07-25,68.73,68.965,68.98,68.67,-0.32%,2.9495150000000003
57,2018-07-24,68.94800000000001,68.97,69.08800000000001,68.845,0.15%,2.9495150000000003
58,2018-07-23,68.845,68.705,68.865,68.645,0.15%,2.9495150000000003
59,2018-07-22,68.743,68.743,68.743,68.743,0.00%,2.9495150000000003
60,2018-07-20,68.74,69.025,69.132,68.74,-0.41%,2.9495150000000003
61,2018-07-19,69.02,68.72,69.11,68.7,0.58%,2.9495150000000003
62,2018-07-18,68.625,68.425,68.645,68.385,0.28%,2.9495150000000003
63,2018-07-17,68.43,68.36,68.475,68.28,-0.18%,2.9495150000000003
64,2018-07-16,68.55,68.56,68.72,68.51,0.08%,2.9495150000000003
65,2018-07-15,68.497,68.497,68.497,68.497,-0.00%,2.9495150000000003
66,2018-07-13,68.5,68.52,68.562,68.335,-0.03%,2.9495150000000003
67,2018-07-12,68.52,68.765,68.765,68.49,-0.31%,2.9495150000000003
68,2018-07-11,68.73,68.825,68.895,68.71,-0.04%,2.9495150000000003
69,2018-07-10,68.755,68.665,68.865,68.655,0.14%,2.9495150000000003
70,2018-07-09,68.66,68.57,68.79,68.57,-0.15%,2.9495150000000003
71,2018-07-08,68.765,68.765,68.765,68.765,-0.06%,2.9495150000000003
72,2018-07-06,68.805,68.885,69.03,68.805,-0.11%,2.9495150000000003
73,2018-07-05,68.88,68.81,69.01,68.695,0.28%,2.9495150000000003
74,2018-07-04,68.69,68.525,68.778,68.445,0.20%,2.9495150000000003
75,2018-07-03,68.55,68.935,68.965,68.525,-0.25%,2.9495150000000003
76,2018-07-02,68.72,68.495,68.825,68.34,0.40%,2.9495150000000003
77,2018-07-01,68.445,68.445,68.445,68.445,-0.02%,2.9495150000000003
78,2018-06-29,68.46,68.7,68.7,68.36,-0.55%,2.8715479999999998
79,2018-06-28,68.84,68.9,69.1,68.725,0.29%,2.8715479999999998
80,2018-06-27,68.64,68.43,68.71,68.425,0.39%,2.8715479999999998
81,2018-06-26,68.37,68.14,68.37,68.08,0.37%,2.8715479999999998
82,2018-06-25,68.115,67.905,68.172,67.905,0.37%,2.8715479999999998
83,2018-06-24,67.865,67.865,67.865,67.865,-0.01%,2.8715479999999998
84,2018-06-22,67.87,67.84,67.89,67.715,-0.11%,2.8715479999999998
85,2018-06-21,67.945,68.205,68.243,67.945,-0.17%,2.8715479999999998
86,2018-06-20,68.06,68.1,68.185,68.03,-0.37%,2.8715479999999998
87,2018-06-19,68.31,67.98,68.385,67.97800000000001,0.40%,2.8715479999999998
88,2018-06-18,68.04,68.16,68.17,67.95,-0.03%,2.8715479999999998
89,2018-06-17,68.06,68.06,68.06,68.06,0.00%,2.8715479999999998
90,2018-06-15,68.06,67.915,68.065,67.888,0.55%,2.8715479999999998
91,2018-06-14,67.69,67.575,67.735,67.57,0.07%,2.8715479999999998
92,2018-06-13,67.645,67.6,67.705,67.55,0.24%,2.8715479999999998
93,2018-06-12,67.48,67.455,67.51,67.36,0.01%,2.8715479999999998
94,2018-06-11,67.47,67.445,67.48,67.275,-0.07%,2.8715479999999998
95,2018-06-10,67.52,67.52,67.52,67.52,-0.01%,2.8715479999999998
96,2018-06-08,67.53,67.47,67.795,67.44,0.16%,2.8715479999999998
97,2018-06-07,67.42,66.94,67.46,66.94,0.87%,2.8715479999999998
98,2018-06-06,66.84,67.09,67.165,66.84,-0.39%,2.8715479999999998
99,2018-06-05,67.1,67.08,67.23,67.08,0.04%,2.8715479999999998
100,2018-06-04,67.07,66.915,67.17,66.85,0.20%,2.8715479999999998
101,2018-06-03,66.935,66.935,66.935,66.935,-0.09%,2.8715479999999998
102,2018-06-01,66.995,67.455,67.455,66.995,-0.65%,2.8715479999999998
103,2018-05-31,67.43,67.43,67.6,67.32,-0.01%,2.801012
104,2018-05-30,67.44,67.855,67.9,67.395,-0.59%,2.801012
105,2018-05-29,67.84,67.63,67.995,67.63,0.65%,2.801012
106,2018-05-28,67.4,67.505,67.532,67.297,-0.49%,2.801012
107,2018-05-27,67.732,67.732,67.732,67.732,0.00%,2.801012
108,2018-05-25,67.73,68.33,68.33,67.718,-0.89%,2.801012
109,2018-05-24,68.34,68.35,68.435,68.295,-0.04%,2.801012
110,2018-05-23,68.37,68.16,68.485,68.16,0.51%,2.801012
111,2018-05-22,68.02,67.99,68.095,67.938,-0.14%,2.801012
112,2018-05-21,68.115,68.105,68.165,68.02199999999999,0.18%,2.801012
113,2018-05-18,67.99,67.775,68.1,67.767,0.33%,2.801012
114,2018-05-17,67.765,67.725,67.81,67.585,-0.01%,2.801012
115,2018-05-16,67.775,68.105,68.135,67.755,-0.45%,2.801012
116,2018-05-15,68.08,67.69,68.14699999999999,67.46,0.77%,2.801012
117,2018-05-14,67.56,67.257,67.63,67.22,0.30%,2.801012
118,2018-05-11,67.36,67.145,67.38,67.115,0.17%,2.801012
119,2018-05-10,67.245,67.335,67.438,67.225,-0.16%,2.801012
120,2018-05-09,67.35,67.135,67.47800000000001,67.135,0.33%,2.801012
121,2018-05-08,67.13,67.175,67.29,66.987,-0.01%,2.801012
122,2018-05-07,67.14,66.83,67.185,66.79,0.48%,2.801012
123,2018-05-04,66.82,66.66,66.92,66.63,0.22%,2.801012
124,2018-05-03,66.67,66.605,66.72,66.53,-0.03%,2.801012
125,2018-05-02,66.69,66.76,66.782,66.64,-0.16%,2.801012
126,2018-05-01,66.8,66.46,66.81,66.45,0.51%,2.801012
127,2018-04-30,66.46,66.6,66.6,66.35,-0.24%,2.462744
128,2018-04-27,66.62,66.84,66.85300000000001,66.62,-0.28%,2.462744
129,2018-04-26,66.805,66.885,66.91199999999999,66.69800000000001,-0.17%,2.462744
130,2018-04-25,66.92,66.49,66.98,66.49,0.77%,2.462744
131,2018-04-24,66.41,66.42,66.46,66.295,-0.18%,2.462744
132,2018-04-23,66.53,66.21,66.53,66.15,0.48%,2.462744
133,2018-04-20,66.21,66.03,66.21,65.96,0.52%,2.462744
134,2018-04-19,65.87,65.85,65.87,65.735,0.23%,2.462744
135,2018-04-18,65.72,65.67,65.79,65.6,0.06%,2.462744
136,2018-04-17,65.68,65.45,65.703,65.42,0.32%,2.462744
137,2018-04-16,65.47,65.33,65.515,65.32,0.33%,2.462744
138,2018-04-13,65.255,65.305,65.305,65.185,-0.05%,2.462744
139,2018-04-12,65.29,65.32,65.45,65.248,0.05%,2.462744
140,2018-04-11,65.26,65.0,65.315,64.985,0.48%,2.462744
141,2018-04-10,64.95,64.89,65.035,64.89,-0.01%,2.462744
142,2018-04-09,64.955,64.865,65.058,64.85,0.04%,2.462744
143,2018-04-06,64.93,64.935,65.045,64.92,0.06%,2.462744
144,2018-04-05,64.89,65.04,65.14,64.89,-0.24%,2.462744
145,2018-04-04,65.045,65.005,65.18,64.905,0.07%,2.462744
146,2018-04-03,65.0,65.09,65.135,64.985,-0.20%,2.462744
147,2018-04-02,65.13,65.12,65.13,65.09,0.02%,2.462744
148,2018-03-30,65.115,65.115,65.115,65.115,0.00%,2.359711
149,2018-03-29,65.115,65.17,65.17,65.115,-0.07%,2.359711
150,2018-03-28,65.16,64.89,65.3,64.89,0.33%,2.359711
151,2018-03-27,64.945,64.785,64.993,64.72800000000001,0.19%,2.359711
152,2018-03-26,64.825,64.895,64.955,64.803,-0.25%,2.359711
153,2018-03-23,64.99,65.2,65.21,64.982,-0.18%,2.359711
154,2018-03-22,65.105,65.125,65.155,65.025,-0.12%,2.359711
155,2018-03-21,65.18,65.22,65.24,65.18,-0.05%,2.359711
156,2018-03-20,65.21,65.21,65.25,65.16,-0.02%,2.359711
157,2018-03-19,65.22,65.045,65.22,65.0,0.35%,2.359711
158,2018-03-16,64.99,64.99,64.99,64.85,0.00%,2.359711
159,2018-03-15,64.99,64.925,64.993,64.81,0.23%,2.359711
160,2018-03-14,64.84,64.89,65.062,64.82,-0.02%,2.359711
161,2018-03-13,64.855,64.985,65.01,64.845,-0.20%,2.359711
162,2018-03-12,64.985,64.965,65.07,64.957,-0.21%,2.359711
163,2018-03-09,65.125,65.125,65.195,65.045,0.03%,2.359711
164,2018-03-08,65.105,64.905,65.165,64.885,0.35%,2.359711
165,2018-03-07,64.88,64.905,65.01,64.86,-0.04%,2.359711
166,2018-03-06,64.905,64.945,65.12,64.905,-0.18%,2.359711
167,2018-03-05,65.025,65.055,65.16,64.93,-0.30%,2.359711
168,2018-03-02,65.22,65.21,65.27,65.2,-0.02%,2.359711
169,2018-03-01,65.23,65.21,65.252,65.11,0.03%,2.359711
170,2018-02-28,65.21,65.15,65.32,65.05,0.45%,2.211795
171,2018-02-27,64.92,64.82,64.97,64.77,0.23%,2.211795
172,2018-02-26,64.77,64.66,64.84,64.63,0.09%,2.211795
173,2018-02-23,64.71,64.96,64.96,64.695,-0.41%,2.211795
174,2018-02-22,64.975,65.065,65.105,64.955,0.26%,2.211795
175,2018-02-21,64.805,64.905,64.945,64.71300000000001,-0.08%,2.211795
176,2018-02-20,64.86,64.51,64.863,64.42,0.95%,2.211795
177,2018-02-19,64.25,64.25,64.25,64.25,0.05%,2.211795
178,2018-02-16,64.215,63.875,64.23,63.815,0.49%,2.211795
179,2018-02-15,63.9,63.96,63.98,63.875,-0.31%,2.211795
180,2018-02-14,64.1,64.155,64.192,64.045,-0.26%,2.211795
181,2018-02-13,64.265,64.275,64.275,64.265,-0.02%,2.211795
182,2018-02-12,64.28,64.29,64.35,64.24,-0.15%,2.211795
183,2018-02-09,64.375,64.425,64.438,64.285,0.12%,2.211795
184,2018-02-08,64.3,64.39,64.39,64.15,0.03%,2.211795
185,2018-02-07,64.28,64.22,64.312,64.045,0.08%,2.211795
