,Date,Open,INR Gold Price per Troy,IND Inflation,USA Inflation,Foreign direct investment net inflows (% of GDP) - IND,Foreign direct investment net inflows (% of GDP),Today Price
0,2010-01-01,46.61,50606.8,16.21622,2.625709,1.653785022,1.764450924,46.615
1,2010-01-04,46.545,51919.8,16.21622,2.625709,1.653785022,1.764450924,46.295
2,2010-01-05,46.305,51944.7,16.21622,2.625709,1.653785022,1.764450924,46.205
3,2010-01-06,46.165,51816.2,16.21622,2.625709,1.653785022,1.764450924,45.695
4,2010-01-07,45.61,51680.7,16.21622,2.625709,1.653785022,1.764450924,45.65
5,2010-01-08,45.68,51554.4,16.21622,2.625709,1.653785022,1.764450924,45.47
6,2010-01-11,45.51,52271.3,16.21622,2.625709,1.653785022,1.764450924,45.26
7,2010-01-12,45.14,52629.4,16.21622,2.625709,1.653785022,1.764450924,45.66
8,2010-01-13,45.735,51408.2,16.21622,2.625709,1.653785022,1.764450924,45.495
9,2010-01-14,45.49,51927,16.21622,2.625709,1.653785022,1.764450924,45.6
10,2010-01-15,45.62,51645.5,16.21622,2.625709,1.653785022,1.764450924,45.79
11,2010-01-18,45.785,51778.6,16.21622,2.625709,1.653785022,1.764450924,45.645
12,2010-01-19,45.66,51880.1,16.21622,2.625709,1.653785022,1.764450924,45.76
13,2010-01-20,45.8,51464.3,16.21622,2.625709,1.653785022,1.764450924,45.86
14,2010-01-21,45.78,51023.8,16.21622,2.625709,1.653785022,1.764450924,46.23
15,2010-01-22,46.305,49972.4,16.21622,2.625709,1.653785022,1.764450924,46.225
16,2010-01-25,46.175,50518.4,16.21622,2.625709,1.653785022,1.764450924,46.075
17,2010-01-26,45.995,50426.2,16.21622,2.625709,1.653785022,1.764450924,45.855
18,2010-01-27,45.87,50763.6,16.21622,2.625709,1.653785022,1.764450924,46.19
19,2010-01-28,46.38,50434.2,16.21622,2.625709,1.653785022,1.764450924,46.25
20,2010-01-29,46.275,49794.3,16.21622,2.625709,1.653785022,1.764450924,46.125
21,2010-02-01,46.16,50386.4,14.86487,2.143332,1.653785022,1.764450924,46.14
22,2010-02-02,46.075,51344.9,14.86487,2.143332,1.653785022,1.764450924,46.125
23,2010-02-03,46.045,51273.6,14.86487,2.143332,1.653785022,1.764450924,45.925
24,2010-02-04,45.995,50105.7,14.86487,2.143332,1.653785022,1.764450924,46.235
25,2010-02-05,46.275,49435,14.86487,2.143332,1.653785022,1.764450924,46.645
26,2010-02-08,46.555,49800.5,14.86487,2.143332,1.653785022,1.764450924,46.845
27,2010-02-09,46.765,49979.2,14.86487,2.143332,1.653785022,1.764450924,46.405
28,2010-02-10,46.315,49721,14.86487,2.143332,1.653785022,1.764450924,46.365
29,2010-02-11,46.355,49964.9,14.86487,2.143332,1.653785022,1.764450924,46.355
30,2010-02-12,46.445,50231.8,14.86487,2.143332,1.653785022,1.764450924,46.425
31,2010-02-15,46.325,50876.4,14.86487,2.143332,1.653785022,1.764450924,46.355
32,2010-02-16,46.355,51535.7,14.86487,2.143332,1.653785022,1.764450924,45.955
33,2010-02-17,45.885,51591.5,14.86487,2.143332,1.653785022,1.764450924,46.175
34,2010-02-18,46.075,51735.4,14.86487,2.143332,1.653785022,1.764450924,46.255
35,2010-02-19,46.27,51525.9,14.86487,2.143332,1.653785022,1.764450924,46.17
36,2010-02-22,46.135,51541.3,14.86487,2.143332,1.653785022,1.764450924,46.125
37,2010-02-23,46.125,51193.2,14.86487,2.143332,1.653785022,1.764450924,46.275
38,2010-02-24,46.265,51107.5,14.86487,2.143332,1.653785022,1.764450924,46.295
39,2010-02-25,46.365,50790.3,14.86487,2.143332,1.653785022,1.764450924,46.385
40,2010-02-26,46.285,51095.9,14.86487,2.143332,1.653785022,1.764450924,46.105
41,2010-03-01,46.085,51361,14.86487,2.313959,1.653785022,1.764450924,46.005
42,2010-03-02,46.024,51835.9,14.86487,2.313959,1.653785022,1.764450924,45.704
43,2010-03-03,45.71,52080.1,14.86487,2.313959,1.653785022,1.764450924,45.7
44,2010-03-04,45.695,51977.1,14.86487,2.313959,1.653785022,1.764450924,45.795
45,2010-03-05,45.795,51761.7,14.86487,2.313959,1.653785022,1.764450924,45.455
46,2010-03-08,45.455,51249.8,14.86487,2.313959,1.653785022,1.764450924,45.535
47,2010-03-09,45.55,50906.1,14.86487,2.313959,1.653785022,1.764450924,45.59
48,2010-03-10,45.48,50848.3,14.86487,2.313959,1.653785022,1.764450924,45.42
49,2010-03-11,45.335,50359,14.86487,2.313959,1.653785022,1.764450924,45.515
50,2010-03-12,45.505,50262.5,14.86487,2.313959,1.653785022,1.764450924,45.465
51,2010-03-15,45.455,50337.2,14.86487,2.313959,1.653785022,1.764450924,45.565
52,2010-03-16,45.48,51215.5,14.86487,2.313959,1.653785022,1.764450924,45.52
53,2010-03-17,45.455,50826.5,14.86487,2.313959,1.653785022,1.764450924,45.395
54,2010-03-18,45.345,51029,14.86487,2.313959,1.653785022,1.764450924,45.475
55,2010-03-19,45.345,50305.8,14.86487,2.313959,1.653785022,1.764450924,45.455
56,2010-03-22,45.525,50023.6,14.86487,2.313959,1.653785022,1.764450924,45.495
57,2010-03-23,45.425,50225.6,14.86487,2.313959,1.653785022,1.764450924,45.435
58,2010-03-24,45.343,49735.5,14.86487,2.313959,1.653785022,1.764450924,45.432
59,2010-03-25,45.42,49737,14.86487,2.313959,1.653785022,1.764450924,45.43
60,2010-03-26,45.525,49600.2,14.86487,2.313959,1.653785022,1.764450924,45.135
61,2010-03-29,45.065,49793.2,14.86487,2.313959,1.653785022,1.764450924,44.895
62,2010-03-30,44.825,49914.6,14.86487,2.313959,1.653785022,1.764450924,45.025
63,2010-03-31,44.935,50080.4,14.86487,2.313959,1.653785022,1.764450924,44.825
64,2010-04-01,44.925,50439.5,13.33333,2.236447,1.653785022,1.764450924,44.815
65,2010-04-02,44.715,50439.5,13.33333,2.236447,1.653785022,1.764450924,44.765
66,2010-04-05,44.735,49928.3,13.33333,2.236447,1.653785022,1.764450924,44.385
67,2010-04-06,44.375,50356.4,13.33333,2.236447,1.653785022,1.764450924,44.425
68,2010-04-07,44.328,50870.4,13.33333,2.236447,1.653785022,1.764450924,44.427
69,2010-04-08,44.355,51040.1,13.33333,2.236447,1.653785022,1.764450924,44.365
70,2010-04-09,44.345,51038.5,13.33333,2.236447,1.653785022,1.764450924,44.175
71,2010-04-12,44.175,51512.2,13.33333,2.236447,1.653785022,1.764450924,44.485
72,2010-04-13,44.345,51068.4,13.33333,2.236447,1.653785022,1.764450924,44.545
73,2010-04-14,44.455,51313,13.33333,2.236447,1.653785022,1.764450924,44.215
